T,mean_snr_db,std_snr_db
0.1,0.7664867282056542,2.6230529528410043
0.2,0.863622752936862,3.686242191138861
0.3,1.6041010626355952,1.182159551835889
0.4,0.5382425146041699,1.6005154005808657
0.5,0.4013629004330852,2.0501701377177413
0.6,-1.196686741891046,2.1786461970321764
0.7,-0.2608158114462319,1.3136917421428065
0.7999999999999999,-1.3616025173955542,2.455543905878084
0.8999999999999999,-3.758458776398622,2.6099393783173466
0.9999999999999999,-0.057692682191354795,1.8647075744505182
1.0999999999999999,-1.537280821703683,3.0235416779983466
1.2,-0.7104751162925302,2.25831917971162
1.3,-2.730122854695794,4.994756099663214
1.4,-0.6742662684889255,1.0658408698824748
1.5,0.9497007532443547,1.533861377151363
1.5999999999999999,-1.144361086411759,2.3770982972621386
1.7,0.7506686798563813,1.2105390412889394
1.8,0.06663463764946957,1.8150454578650355
1.9,-2.4157354628906638,1.960441620718997
2.0,1.3305212751408562,1.6407080422108817
2.0999999999999996,-1.0386050360491768,2.382119207591401
2.1999999999999997,-1.6851988106711608,1.5037360568216964
2.3,-0.36560284257105496,2.00117599182777
2.4,-1.3837630926819002,3.641271171176017
2.5,-1.6782800041429802,3.2193454653374887
2.6,-1.3777337205227798,2.3275142321314313
2.6999999999999997,0.6451353029217353,1.2031558649773768
2.8,-1.2045811544461535,3.2790032424166644
2.9,0.17021170295529972,1.360906768679089
3.0,-0.36336221473656477,2.3190159697626855
