T,mean_snr_db,sem_snr_db
0.1,0.517513999434297,0.24321802488842156
0.12000000000000001,0.7814453913158453,0.25614443184287283
0.14,0.2944650865585387,0.26101754153555284
0.16,-0.17710063653000674,0.27332371746033424
0.18,0.15099813369641996,0.2793556630151864
0.2,-0.25724651163522033,0.33555224853811677
0.22,-0.02595170558783364,0.23846997751003887
0.24000000000000002,0.037269148387283915,0.23913570495792888
0.26,-0.25598616209821684,0.2753685110417836
0.28,-0.39134837228417396,0.3440828994623951
0.30000000000000004,-0.0062303688419268945,0.2689506610816929
0.32,-0.2349715402083563,0.27252456299517785
0.33999999999999997,0.05358667720517846,0.27429568265592075
0.36,-0.4686619997125462,0.2986288041333975
0.38,-0.007531060513612984,0.23817615154317076
0.4,0.040520980855234985,0.27256306858260987
0.42000000000000004,0.07190191336589029,0.29305737898025414
0.44000000000000006,0.27248124625110126,0.25344017871029145
0.45999999999999996,-0.17227354404428147,0.2401899710824976
0.48,-0.6976486489737473,0.26066993730607874
0.5,-0.2764677939383188,0.2817005012305724
