T,mean_F_1w,sem_F_1w,mean_F_3w,sem_F_3w,ratio_3w_1w,sem_ratio
0.1,3.101770231106451e-05,4.880549550011584e-06,4.1152414752380486e-05,5.472399731740574e-06,1.3267396151055697,0.27332613139892303
0.2,1.6688147569991488e-05,1.8748896955590085e-06,1.9893830277525674e-05,3.5664335000221997e-06,1.192093370579084,0.25220914050584076
0.3,1.4299734017953359e-05,2.653920933447552e-06,1.8641355743102653e-05,3.3026997660823235e-06,1.3036155369101858,0.3344832738807559
0.4,1.409521936731956e-05,2.7554792736851804e-06,1.5447733480741188e-05,2.3765780755984356e-06,1.0959555138674877,0.27263793248485574
0.5,1.81171344037091e-05,2.6073525628095203e-06,1.7939956062603454e-05,2.1021402129161376e-06,0.990220399795137,0.18377126210872965
0.6,1.452846238676385e-05,2.4032547256409497e-06,1.3691253812891135e-05,1.6991646085848565e-06,0.9423745958822146,0.19488034549767197
0.7,1.626694255962232e-05,2.5209848882110572e-06,1.211388322670202e-05,1.1839942303111705e-06,0.7446933212930676,0.13644436608374588
0.7999999999999999,1.372086361053067e-05,2.9610618112877087e-06,1.168183780761382e-05,1.992493960924193e-06,0.8513923239682788,0.23419424501254674
0.8999999999999999,1.1164310879467582e-05,2.208125276870365e-06,1.527737450796833e-05,2.818271384933042e-06,1.3684117456504536,0.37010190702104867
0.9999999999999999,1.1524234408166816e-05,1.4526721529099898e-06,1.4014570876230714e-05,2.6487388356901575e-06,1.2160955915825085,0.27627091450379915
1.0999999999999999,1.280755939130245e-05,1.885810904003331e-06,1.4829147392897646e-05,2.094664680699611e-06,1.157843331581559,0.23624737508505408
1.2,1.0736334844358272e-05,2.15733360884468e-06,9.474248310556132e-06,1.2130655739007808e-06,0.8824471819717393,0.21025534369238544
1.3,1.1718162496652317e-05,1.7128483127379305e-06,1.1024749144912813e-05,2.2135720332971704e-06,0.9408257657492489,0.2336569223734171
1.4,1.3384933606394217e-05,2.7874374285765194e-06,1.092757181278358e-05,2.659710008361554e-06,0.8164083825679124,0.26151802716336425
1.5,1.2611213506938461e-05,1.6352311289244372e-06,1.4640949368043366e-05,2.436634241068141e-06,1.1609468984916704,0.24493112286029822
1.5999999999999999,1.1155002256108802e-05,2.488938001859552e-06,1.0462203420182231e-05,1.0753004826724865e-06,0.9378934438636606,0.23040040129593417
1.7,1.2342260301117917e-05,2.0889590546231504e-06,1.1296910652671703e-05,1.9975527603948392e-06,0.9153032314790216,0.2240395563621881
1.8,1.2412934209227249e-05,3.1164896993251943e-06,1.7059610382247062e-05,2.0588048720852128e-06,1.3743414506478429,0.3828459709333181
1.9,1.0629377647784334e-05,1.783008405096052e-06,1.2678699553106734e-05,1.6789632099188382e-06,1.192797902231997,0.25491840872909405
2.0,1.1809649732156042e-05,2.2160612351217436e-06,1.0151154799216155e-05,1.080096741138461e-06,0.8595644383940978,0.18542132372110695
