T,P_out_measured,P_out_fit
0.1,9.040520541723292e-08,4.52341497738616e-09
0.25263157894736843,8.980658063981204e-08,1.1427582793544147e-08
0.4052631578947369,8.988278876932155e-08,1.8331765500099362e-08
0.5578947368421052,9.017379453440969e-08,2.523591792299723e-08
0.7105263157894737,8.988489000913602e-08,3.214010035327218e-08
0.8631578947368421,8.988694677473178e-08,3.9044269941673796e-08
1.0157894736842106,8.99323486726483e-08,4.5948468982616835e-08
1.168421052631579,8.981130775663944e-08,5.2852677516946626e-08
1.3210526315789475,8.962343210820528e-08,5.975681649374479e-08
1.473684210526316,8.974291774521272e-08,6.666109776426288e-08
1.6263157894736844,8.952834703443996e-08,7.356521813029418e-08
1.7789473684210528,8.984911621367357e-08,8.046934725164657e-08
1.931578947368421,9.010948241411039e-08,8.737357962817281e-08
2.0842105263157893,8.991192819470954e-08,9.427768463096966e-08
2.236842105263158,8.983856489908713e-08,1.0118185850545986e-07
2.3894736842105266,9.046825905102519e-08,1.0808603237995008e-07
2.542105263157895,8.976955968362959e-08,1.1499020625444027e-07
2.694736842105263,8.979759749875931e-08,1.2189438012893045e-07
2.8473684210526318,8.981897196033166e-08,1.2879855400342067e-07
3.0,8.939304895617709e-08,1.3570272787791087e-07
